LAT,LON,M2,USD,NEIGHBORHOOD,COMMUNE,YEAR
-58.39874832750184,-34.62703019838028,4344.0,6500000.0,SAN CRISTOBAL,3,2014
-58.38819683662156,-34.63888829339486,306.0,120000.0,BARRACAS,4,2014
-58.37859343931776,-34.647970131506646,225.0,150000.0,BARRACAS,4,2014
-58.382844039597366,-34.64585812610123,261.0,150000.0,BARRACAS,4,2014
-58.37120360279207,-34.645203997247,112.0,160000.0,BARRACAS,4,2014
-58.37979716294068,-34.64836168595045,225.0,165000.0,BARRACAS,4,2014
-58.3882395525101,-34.63900589370994,224.0,170000.0,BARRACAS,4,2014
-58.38328149396418,-34.63362075483637,216.0,175000.0,BARRACAS,4,2014
-58.382844039597366,-34.64585812610123,390.0,180000.0,BARRACAS,4,2014
-58.377920750414724,-34.64319933116879,178.0,185000.0,BARRACAS,4,2014
-58.37492561921229,-34.62998977766311,192.0,200000.0,BARRACAS,4,2014
-58.37477319853385,-34.65560296311095,460.0,200000.0,BARRACAS,4,2014
-58.384191661923246,-34.654370978347174,297.0,260000.0,BARRACAS,4,2014
-58.37175867029372,-34.64702915771103,188.0,300000.0,BARRACAS,4,2014
-58.38269403104183,-34.63440630723043,460.0,320000.0,BARRACAS,4,2014
-58.38269403104183,-34.63440630723043,228.0,320000.0,BARRACAS,4,2014
-58.37859343931776,-34.647970131506646,400.0,370000.0,BARRACAS,4,2014
-58.373750213469705,-34.629527444628145,373.0,450000.0,BARRACAS,4,2014
-58.3770364756474,-34.645893777584355,766.0,450000.0,BARRACAS,4,2014
-58.37298370217799,-34.64032543793668,400.0,480000.0,BARRACAS,4,2014
-58.37298370217799,-34.64032543793668,306.0,480000.0,BARRACAS,4,2014
-58.38393975793147,-34.64594125451406,387.0,550000.0,BARRACAS,4,2014
-58.37311847102226,-34.647434987724836,260.0,590000.0,BARRACAS,4,2014
-58.389838667892725,-34.642801880088896,1237.0,600000.0,BARRACAS,4,2014
-58.37687951031538,-34.64585562626351,1198.0,720000.0,BARRACAS,4,2014
-58.37358119806738,-34.63105509913538,750.0,770000.0,BARRACAS,4,2014
-58.37358119806738,-34.63105509913538,290.0,770000.0,BARRACAS,4,2014
-58.388316030452394,-34.64063855284616,1400.0,900000.0,BARRACAS,4,2014
-58.38536278202506,-34.64269247398784,1500.0,900000.0,BARRACAS,4,2014
-58.37069838205503,-34.630796199874126,430.0,1450000.0,BARRACAS,4,2014
-58.37631731551632,-34.632227982558135,1006.0,1900000.0,BARRACAS,4,2014
-58.37381384593111,-34.643657916105454,1600.0,2700000.0,BARRACAS,4,2014
-58.37381384593111,-34.643657916105454,896.0,2700000.0,BARRACAS,4,2014
-58.36969450079493,-34.63828295578158,7422.0,9000000.0,BARRACAS,4,2014
-58.3651811400923,-34.64598544270039,178.0,35000.0,BOCA,4,2014
-58.3651811400923,-34.64598544270039,160.0,40000.0,BOCA,4,2014
-58.36469548163574,-34.64330797459991,189.0,80000.0,BOCA,4,2014
-58.35492357505646,-34.63359829963418,285.0,88000.0,BOCA,4,2014
-58.36557139127138,-34.636752459157265,343.0,90000.0,BOCA,4,2014
-58.36110135498927,-34.64162365917745,450.0,90000.0,BOCA,4,2014
-58.357699557057494,-34.634825487957805,576.0,100000.0,BOCA,4,2014
-58.36110206322361,-34.64096737856516,225.0,120000.0,BOCA,4,2014
-58.35854059610838,-34.629480229891044,108.0,125000.0,BOCA,4,2014
-58.36557139127138,-34.636752459157265,270.0,130000.0,BOCA,4,2014
-58.36104268451765,-34.64390160347781,442.0,130000.0,BOCA,4,2014
-58.36664090489147,-34.63791943286893,362.0,140000.0,BOCA,4,2014
-58.364763056389215,-34.64011966638798,278.0,150000.0,BOCA,4,2014
-58.364763056389215,-34.64011966638798,180.0,150000.0,BOCA,4,2014
-58.36428996938339,-34.6410185034288,381.0,150000.0,BOCA,4,2014
-58.36239440339777,-34.63249773915966,468.0,160000.0,BOCA,4,2014
-58.367750901579434,-34.63882267003407,180.0,175000.0,BOCA,4,2014
-58.36265556993542,-34.63669821004742,273.0,180000.0,BOCA,4,2014
-58.356593508661,-34.633216860824874,873.0,200000.0,BOCA,4,2014
-58.356593508661,-34.633216860824874,560.0,200000.0,BOCA,4,2014
-58.36190273312921,-34.63333595991962,342.0,220000.0,BOCA,4,2014
-58.36110135498927,-34.64162365917745,253.0,225000.0,BOCA,4,2014
-58.36524270951322,-34.6377846679879,307.0,240000.0,BOCA,4,2014
-58.35757732286036,-34.63155899352204,319.0,240000.0,BOCA,4,2014
-58.358163604162215,-34.63399580068499,480.0,250000.0,BOCA,4,2014
-58.357139734921844,-34.63550615151313,112.0,250000.0,BOCA,4,2014
-58.36040567837754,-34.63578657861782,700.0,250000.0,BOCA,4,2014
-58.3594229415261,-34.63436468060237,527.0,350000.0,BOCA,4,2014
-58.363748609624146,-34.63612451562035,270.0,350000.0,BOCA,4,2014
-58.3652376784457,-34.62688755636529,462.0,360000.0,BOCA,4,2014
-58.35952074065732,-34.634548607929936,471.0,450000.0,BOCA,4,2014
-58.35952074065732,-34.634548607929936,800.0,450000.0,BOCA,4,2014
-58.35805577039906,-34.637010566467545,896.0,700000.0,BOCA,4,2014
-58.362480886613284,-34.63113684384693,470.0,850000.0,BOCA,4,2014
-58.362480886613284,-34.63113684384693,546.0,850000.0,BOCA,4,2014
-58.360010343986595,-34.63371213791214,860.0,1100000.0,BOCA,4,2014
-58.35854035466985,-34.63620154159487,1136.0,1400000.0,BOCA,4,2014
-58.35854035466985,-34.63620154159487,936.0,1400000.0,BOCA,4,2014
-58.35952074065732,-34.634548607929936,1575.0,1700000.0,BOCA,4,2014
-58.41065724311793,-34.655304874233,128.0,69000.0,NUEVA POMPEYA,4,2014
-58.42004945527805,-34.65162331871858,152.0,110000.0,NUEVA POMPEYA,4,2014
-58.423333619785005,-34.653147950130766,252.0,145000.0,NUEVA POMPEYA,4,2014
-58.41854796150473,-34.64524188120699,225.0,152000.0,NUEVA POMPEYA,4,2014
-58.43115647483574,-34.64150502835119,200.0,160000.0,NUEVA POMPEYA,4,2014
-58.40650641708496,-34.648091848966224,263.0,160000.0,NUEVA POMPEYA,4,2014
-58.4251990636801,-34.65652057102639,388.0,170000.0,NUEVA POMPEYA,4,2014
-58.426112276337975,-34.651372038056124,344.0,170000.0,NUEVA POMPEYA,4,2014
-58.41753260354991,-34.64420123057171,235.0,185000.0,NUEVA POMPEYA,4,2014
-58.4151064459869,-34.64346756812332,103.0,189000.0,NUEVA POMPEYA,4,2014
-58.41998095172353,-34.6514574958425,544.0,290000.0,NUEVA POMPEYA,4,2014
-58.413899981563205,-34.641032567288214,146.0,310000.0,NUEVA POMPEYA,4,2014
-58.4168707815122,-34.64053512679427,250.0,330000.0,NUEVA POMPEYA,4,2014
